Time,Temperature,Voltage,Current,Speed
20170528163358,29.79,0.00,0.00,0
20170528163359,30.27,0.00,0.00,0
20170528163400,30.76,0.00,0.00,0
20170528163402,30.76,0.00,0.00,0
20170528163403,31.25,0.00,0.00,0
20170528163404,31.25,0.00,0.00,0
20170528163406,31.25,0.00,0.00,0
20170528163407,31.74,0.00,0.00,0
20170528163408,32.23,0.00,0.00,0
20170528163410,33.20,0.00,0.00,0
20170528163414,29.30,0.00,0.00,0
20170528163416,29.30,0.00,0.00,0
20170528163417,29.79,0.00,0.00,0
20170528163419,30.27,0.00,0.00,0
20170528163420,30.76,0.00,0.00
4564yfdghdf
